Policy Rule,Verdict,Confidence,Document ID,Reasoning
Customer data backups are retained for a minimum of 90 days.,NOT_APPLICABLE,0.0,N/A,The provided evidence indicates that the tool cannot access the relevant information to determine if customer data backups are retained for a minimum of 90 days.
User account data is permanently purged within 90 days of account closure.,INSUFFICIENT_EVIDENCE,0.0,N/A,"The provided evidence states that the tool is unable to answer the question. Therefore, there is no information to verify compliance or non-compliance."
PII is encrypted at rest using AES-256 or equivalent.,COMPLIANT,1.0,N/A,The provided evidence explicitly states that all PII data at rest is encrypted using AES-256 or equivalent.
Data in transit over public networks is encrypted using TLS 1.2 or higher.,NON_COMPLIANT,1.0,N/A,"The evidence states that there is no evidence to confirm that data in transit over public networks is encrypted using TLS 1.2 or higher. Therefore, it cannot be verified that the policy is being followed."
The user creation API is authenticated using multi-factor authentication (MFA) or strong API keys with rotation policies.,NON_COMPLIANT,0.0,N/A,"The provided evidence indicates that the tool lacked the functionality to verify the authentication method of the user creation API. Therefore, I cannot confirm whether multi-factor authentication (MFA) or strong API keys with rotation policies are in place."
Administrative interfaces are authenticated using multi-factor authentication (MFA) or strong API keys with rotation policies.,COMPLIANT,1.0,N/A,"The retrieved evidence explicitly states that all administrative interfaces are authenticated using multi-factor authentication (MFA) or strong API keys with rotation policies, which directly satisfies the policy rule."
Access to PII is restricted to authorized personnel on a need-to-know basis.,NON_COMPLIANT,0.0,N/A,"The provided evidence states that no relevant information was found. Therefore, it is not possible to verify compliance with the policy rule regarding PII access."
Security logs are retained for at least 1 year.,COMPLIANT,1.0,N/A,"The evidence states that logs generated by the SIEM (a security tool) must be retained for at least one year, satisfying the policy rule."
All third-party vendors processing Company Name data are documented in the Vendor Contract Database (VCD).,INSUFFICIENT_EVIDENCE,0.0,N/A,"The provided evidence indicates that the tool is unable to extract information or confirm the existence of documentation related to third-party vendors processing Company Name data in the Vendor Contract Database (VCD). Therefore, it's impossible to determine compliance with the policy."
Third-party vendors undergo an annual security assessment.,COMPLIANT,1.0,N/A,"The evidence explicitly states that all third-party vendors undergo an annual security assessment, which satisfies the policy rule."
"Explicit user consent is obtained before sharing any PII with third-party processors, except where required by law.",NON_COMPLIANT,1.0,N/A,"The provided evidence states that the tool was unable to find any relevant information regarding explicit user consent and sharing PII with third-party processors, except where required by law. This indicates a lack of evidence of compliance."
